Polygon,Latitude,Longitude
1, 61.33011463777155, -150.5493720925678
1, 61.31580839781532, -150.5429868594561
1, 61.27821094983639, -150.5039344067061
1, 61.26550057249661, -150.4668936210701
1, 61.26683559083818, -150.406624253912
1, 61.28077292734918, -150.3613310415184
1, 61.3084073107802, -150.3618037681645
1, 61.46179289658108, -150.2827985412448
1, 61.49047661848565, -150.2866486906386
1, 61.48814282931616, -150.3715256599693
1, 61.4867968375039, -150.4510171941176
1, 61.45705222012334, -150.460273558823
1, 61.41829599798928, -150.4583468201437
1, 61.40656515496925, -150.4451776129826
1, 61.39053437200707, -150.4482662799852
1, 61.3634454481695, -150.4863639941833
1, 61.3427416347177, -150.5476152596885
1, 61.34188993021634, -150.5481301672704
2, 64.5, -149.0
2, 70.66, -160.0
