Polygon,Latitude,Longitude,Result,Perimeter
0,61.42876922033038,-149.75157463204874,Passes,5688.348763925553
1,61.43487923767477,-149.74281292003323,Fails,197.1581959673461
2,61.42843605816616,-149.74417720353784,Fails,108.57375374646972
3,61.43860897969476,-149.74522324177983,Fails,176.29862614262433
4,61.42741873530166,-149.7458893771136,Fails,459.49106460780183
5,61.43848720806737,-149.74607364691545,Fails,68.60924237894702
6,61.4383092808855,-149.74683786586,Fails,205.8280985193157
7,61.444572937642974,-149.7474510636844,Fails,98.1308328501811
8,61.425887979733254,-149.74821391872723,Fails,620.1901115473657
9,61.44362756774872,-149.74883180754705,Fails,314.37321404114084
10,61.381783335593674,-149.82833880210063,Passes,59125.97023895349
11,61.328446437557275,-149.9079158395791,Fails,875.5796691927751
12,61.33071173204232,-149.90646724201812,Fails,295.6194647321386
13,61.3338352133424,-149.90653488906477,Passes,1331.2028994864463
14,61.340217022898315,-149.9059293679976,Fails,416.271003672121
15,61.422183169556014,-149.75827230779925,Fails,88.601868496161
16,61.423120763403176,-149.74994270660406,Fails,177.20205911802645
17,61.42359744028538,-149.75846579109117,Fails,483.8238659862942
18,61.425887979733254,-149.74821249282996,Fails,620.1901115473657
19,61.42741873530166,-149.745882466996,Fails,459.49106460780183
20,61.42843605816616,-149.74415724097597,Fails,108.57375374646972
21,61.43022691009808,-149.7506897266824,Fails,337.01005287814894
22,61.438309280885484,-149.74681443154822,Fails,205.82809851931572
23,61.43848720806737,-149.7460437030726,Fails,68.60924237894702
24,61.43860897969476,-149.74520527547412,Fails,176.29862614262436
25,61.44174815126214,-149.75258555202402,Fails,412.51445996126
26,61.44362756774872,-149.74882182626612,Fails,314.37321404114084
27,61.423120763403176,-149.74995216255442,Fails,177.20205911802643
28,61.43022691009808,-149.75069918263276,Fails,337.01005287814894
29,61.44174815126214,-149.75259083623158,Fails,412.51445996126006
30,61.45592426241434,-149.75332736025027,Fails,489.69984046684147
31,61.422183169556014,-149.75827921791682,Fails,88.60186849616102
32,61.42359744028538,-149.75847270120875,Fails,483.8238659862941
33,61.48650592844636,-149.7680646495102,Fails,607.5499500095259
34,61.48154259264805,-149.77429692088324,Passes,1992.6460702191534
35,61.444083771000834,-149.77423444711354,Fails,1286.1366096206618
36,61.50405677299276,-149.77692592686586,Fails,899.7562726621153
37,61.4725371962897,-149.78124153860244,Fails,137.15597130139025
38,61.45063841947723,-149.78505853399002,Fails,581.8389637900841
39,61.51340110350777,-149.80160194721373,Fails,477.94102077810857
40,61.57362234474448,-149.81040585433388,Fails,225.4327159767505
41,61.571990757273625,-149.81096422848756,Fails,1108.1065690895766
42,61.58099959307033,-149.81553303675759,Fails,995.7652976175486
43,61.431515050610344,-149.8163481223897,Passes,2347.6729394901877
44,61.49351166402915,-149.81730563326423,Passes,2708.3131526766597
45,61.52638543914136,-149.82105763604164,Fails,412.0998384155858
46,61.58307009136113,-149.83000222958583,Passes,4986.255317571122
47,61.555299313114055,-149.82808454814796,Passes,2629.8635201705883
48,61.54691343812526,-149.8266633586526,Fails,746.074451213309
49,61.57173546015973,-149.8225180595316,Passes,3513.5369925657988
50,61.53478660652498,-149.8273611988473,Fails,68.52078395416028
51,61.56890633872464,-149.82796727151054,Fails,488.93652847481155
52,61.48383595335663,-149.82825297467147,Fails,274.27057908491406
53,61.426219978945,-149.8308855304319,Fails,986.7504783287313
54,61.521939238249054,-149.83166616871128,Passes,3690.850748426984
55,61.53685325018658,-149.82964341225167,Fails,696.5798318466817
56,61.43189660268442,-149.83266215389708,Passes,1984.6508154931075
57,61.570126880493625,-149.83741785566207,Fails,1041.5683828706028
58,61.42182313305646,-149.83959050678422,Fails,1194.4227805543048
59,61.47135556618522,-149.83998751922968,Fails,264.7748803277692
60,61.550286503270215,-149.84214898282517,Fails,313.03782027328805
61,61.57131163626994,-149.8420542315173,Fails,225.43913401147722
62,61.585219922180066,-149.8462622221325,Passes,3735.5124704559266
63,61.45786330882032,-149.84708737477058,Fails,546.0716919984856
64,61.553438716946495,-149.84959441139034,Fails,653.6514603996118
65,61.56954142673949,-149.8484605476858,Fails,582.1337528164192
66,61.51531259744194,-149.85791601970635,Fails,1457.7519599423665
67,61.38938729089357,-149.85665625839053,Fails,185.98534320394288
68,61.391084003586364,-149.85733393483295,Fails,176.41492718185546
69,61.592185275866186,-149.85797746478795,Passes,1693.6534538369465
70,61.389132377657866,-149.85763919757824,Fails,235.50797532653982
71,61.56954580876525,-149.85820019213904,Fails,696.2678370219044
72,61.38858167133153,-149.858834347478,Fails,265.89802468824973
73,61.41708343155093,-149.86162045360837,Fails,1179.7757289983297
74,61.39027362864058,-149.85943504700276,Fails,29.543719314498937
75,61.585566021826516,-149.86390604230323,Passes,2455.4209171907014
76,61.38769246939088,-149.86132749786796,Fails,88.63355022208928
77,61.3890777661185,-149.8640523875631,Fails,657.8478163727359
78,61.38678816533819,-149.86420210677713,Fails,167.70173020057925
79,61.4205267737267,-149.86564399087828,Fails,1006.8190483401438
80,61.690170680440524,-149.8660518635181,Fails,399.7633206466756
81,61.53294975908609,-149.90191182818907,Passes,43782.66032511247
82,61.5182690124754,-149.94296296873532,Fails,224.66171489909402
83,61.51893790839248,-149.92912823793483,Fails,166.57493416055632
84,61.51938372864027,-149.93413154813953,Fails,204.68019880729784
85,61.51961648540158,-149.92094141119887,Fails,243.71023817910324
86,61.52041740093327,-149.9565650415923,Fails,137.06794502917404
87,61.51796795982402,-149.94736519789447,Passes,2071.4523496523375
88,61.52124799706521,-149.92041628174994,Fails,255.08100702022304
89,61.521472002493496,-149.92720586334582,Fails,689.9595653852589
90,61.52762487646596,-149.93054510533537,Fails,401.64017440010485
91,61.53701816944513,-149.89292013825252,Passes,1667.409977002432
92,61.535681594715456,-149.86734288317788,Fails,302.64435585045993
93,61.53872921249417,-149.86797733434298,Fails,146.554897834654
94,61.549601549599544,-149.86695966248266,Fails,380.6047102667725
95,61.54789336916128,-149.87486837173773,Fails,968.7345659368005
96,61.54281155639645,-149.87950719645312,Passes,3490.678187958004
97,61.38561545556729,-149.86580818561842,Fails,88.63543374444825
98,61.573090588761985,-149.8650350900406,Passes,2075.4349032044456
99,61.38729753438308,-149.86786253923668,Fails,1283.6502918544957
100,61.38594374897112,-149.86631614207909,Fails,79.0676987830674
101,61.549601549599544,-149.86697871765534,Fails,380.6047102667725
102,61.535681594715456,-149.86736949992707,Fails,302.64435585045993
103,61.3884230991553,-149.8671605584462,Fails,49.52190343836632
104,61.52970830437291,-149.86747900470482,Fails,735.6629454099011
105,61.53872921249417,-149.86800497481323,Fails,146.554897834654
106,61.413476721857535,-149.86843460386217,Fails,292.7873473717037
107,61.6953076556215,-149.8683120732941,Fails,544.9192895958103
108,61.38482983801881,-149.86877752595757,Fails,49.52300330693243
109,61.38452114422118,-149.86993226942283,Fails,108.61411277565048
110,61.52393575639531,-149.87183179792356,Fails,1582.9503331389628
111,61.38527500314847,-149.87163616481732,Fails,501.4274337811724
112,61.38272778025398,-149.8717958653122,Fails,39.11443765570644
113,61.56392515958316,-149.87353141044113,Fails,416.6696493491714
114,61.382292596405236,-149.8727394290699,Fails,325.84823619379705
115,61.384642475116706,-149.87405790875144,Fails,295.45477745086095
116,61.59136852461289,-149.87537214190834,Passes,2229.9926152860567
117,61.38338534704196,-149.87494356206778,Fails,411.11840875849066
118,61.381001381607945,-149.87484850397772,Fails,118.18623330689327
119,61.54789336916128,-149.87487507558316,Fails,968.7345659368005
120,61.388273379941275,-149.87734745376807,Fails,137.31081470524094
121,61.654242576751,-149.87835556314246,Fails,116.84414611664441
122,61.38047872544264,-149.87913864000123,Fails,353.72116865980024
123,61.38316630994058,-149.879724826189,Fails,629.1912594367728
124,61.456835406237694,-149.87945393801402,Fails,734.5375234132166
125,61.37665684999117,-149.8827226362167,Passes,1752.059951914022
126,61.379409889475674,-149.88300797001435,Passes,1588.4883729734177
127,61.54281155639645,-149.8795113266383,Passes,3490.678187958004
128,61.5083632580997,-149.88149419303124,Fails,428.4946356257238
129,61.420640890123885,-149.8842358118191,Fails,540.3120047512448
130,61.375083667175076,-149.88546712395862,Fails,802.8228376288334
131,61.50928656089516,-149.88511861729967,Fails,712.1941284454025
132,61.57274520852201,-149.8887529169139,Fails,1780.568543860215
133,61.409827122067426,-149.8905477661691,Fails,974.8732857641999
134,61.53701816944513,-149.8929222602571,Passes,1667.409977002432
135,61.502109114942556,-149.89158850096612,Fails,559.7664035964713
136,61.508007526145725,-149.89150323136158,Fails,1658.6401523899553
137,61.69727896235003,-149.8916074844557,Fails,350.294836310327
138,61.52641544879481,-149.89386618853553,Fails,1088.7861130247493
139,61.55470789444884,-149.89484598806828,Fails,1302.5480818040082
140,61.54939512495211,-149.8955301142583,Fails,906.7981007789424
141,61.43526348644828,-149.89774826350728,Passes,1921.0949000084534
142,61.56331541080875,-149.89449836557722,Fails,185.50594203955004
143,61.59136334672499,-149.89781288008817,Passes,2593.098416107172
144,61.41211362605685,-149.8951692478613,Fails,322.3314937305305
145,61.382926791639996,-149.89892775093963,Fails,98.20631700742106
146,61.55120959966561,-149.90167940741208,Fails,321.6066453852272
147,61.59680015258605,-149.9037496942789,Fails,1270.359327244136
148,61.5727578051118,-149.90761950839956,Passes,3066.6004436444423
149,61.714623622816625,-149.902611501711,Fails,253.443567388584
150,61.7002078013524,-149.90293660629,Fails,88.34612487229279
151,61.700618459768,-149.90423274691423,Fails,87.3100688609249
152,61.3338352133424,-149.9065374928772,Passes,1331.2028994864463
153,61.34021702289831,-149.90593556327542,Fails,416.27100367212097
