Polygon,Latitude,Longitude,Result,Perimeter
0,62.261334546297306,-150.1493277241283,Passes,2415.47310787092
1,62.262114731567955,-150.1504165401425,Passes,2677.5406292525627
2,62.25862710365043,-150.14926749027106,Fails,164.98265666055033
3,62.27324568770734,-150.15028797643384,Fails,244.86160270230394
4,62.26728087422079,-150.15282481879615,Fails,166.3483952392396
5,62.26424523397919,-150.1567867219085,Fails,291.36847863583984
6,62.262389311100016,-150.15806057851003,Fails,986.0738434239693
7,62.259200699674345,-150.16183293245902,Fails,1366.704791477805
8,62.33918013837165,-150.1656073724917,Fails,244.71893954021425
9,62.34438028067249,-150.16699424521101,Fails,192.61533887598895
10,62.34050953992604,-150.16709805053276,Fails,539.3566650607523
11,62.33955012991767,-150.16738630064123,Fails,466.60083413911246
12,62.340682907097936,-150.1697698091017,Fails,135.55385940939811
13,62.34412188003555,-150.16951198241986,Fails,833.9428161218059
14,62.34633342368475,-150.17016069485686,Fails,1048.6026291131952
15,62.344441023896444,-150.1729017376271,Fails,175.5020396262528
16,62.341859009108376,-150.17233622676727,Fails,979.5445005405346
17,62.34751240662978,-150.17383341890744,Fails,166.2246452577208
18,62.34399767745839,-150.17581355438404,Fails,731.2609676222016
19,62.34677763079482,-150.17551211680248,Fails,135.542470735035
20,62.35018158684995,-150.17533952456367,Fails,475.8121012874967
21,62.352437380775164,-150.176963968873,Fails,175.48729336745532
22,62.34726497592872,-150.17739894258958,Fails,174.06292224467254
23,62.345685832218734,-150.17828307394814,Fails,191.1784687836502
24,62.34890180093589,-150.1822895601153,Fails,49.22657315267661
25,62.34867183222315,-150.18325614736102,Fails,280.34940702124584
26,62.34836281176541,-150.1851282364131,Fails,58.49823839385418
27,62.34877603679611,-150.1851282364131,Fails,38.52036827091698
28,62.35066249889276,-150.1852540005529,Fails,29.248411701948406
29,62.34878910320024,-150.1855594277495,Fails,97.01834309303813
30,62.33896044512496,-150.18772137319996,Fails,117.00810128492294
31,62.34863645242119,-150.18835111524783,Fails,172.6244428765284
32,62.339379658924216,-150.18803877793368,Fails,49.22951396788366
33,62.348176615506524,-150.1882870396122,Fails,106.29071581648964
34,62.346386518140356,-150.19048219550646,Fails,67.77156829492725
35,62.348123000641735,-150.19067982486902,Fails,385.2083160422163
36,62.34898661861153,-150.19181629815867,Fails,486.5254088701594
37,62.35111897614083,-150.19298882785856,Fails,365.21187069081077
