Polygon,Latitude,Longitude,Result,Perimeter
0,61.21325927652161,-150.91637572758083,Fails,678.5411158538235
1,61.2023591376069,-150.9266205381326,Fails,108.05070980902971
2,61.20372400873423,-150.93286010117123,Fails,295.2766909321806
3,61.22314398778188,-150.94731060182255,Fails,1100.1639662191715
4,61.2013040254732,-150.94855249746922,Fails,49.5791289541591
5,61.22155355963925,-150.95171745695484,Fails,1772.0009940934144
6,61.24181878312832,-150.97519086817937,Fails,793.6238645197079
7,61.25274555115426,-150.9746994610057,Fails,88.7573444766161
8,61.078146746043245,-151.21806660988338,Passes,189606.4723797582
9,60.911933806251064,-151.68265084775018,Fails,108.49379196269467
10,60.912718307366255,-151.67365849467188,Fails,1032.491138210905
11,60.91472700270667,-151.6692289902783,Fails,1374.018586222332
12,60.91554055987007,-151.66697506850966,Fails,266.0877839088751
13,60.984781428995035,-151.47038983478282,Fails,257.3185690878042
14,60.985603266701965,-151.46725229432246,Fails,836.7863828911436
15,60.987234547672465,-151.47564419119908,Fails,167.71277706127526
16,60.98770790142282,-151.4661113880669,Fails,661.7565342521015
17,60.98764871829821,-151.47120957742345,Fails,1185.4703461437034
18,60.989142349548985,-151.47767670939385,Fails,436.5061857627435
19,60.98989264792515,-151.48480211608828,Fails,306.3490728610809
20,60.989581487915146,-151.46254370447966,Fails,800.9863487511726
21,60.99194055167328,-151.47094291517345,Fails,177.9925531724901
22,60.99378121730447,-151.46506981204465,Fails,88.99459192294815
23,60.994119154958966,-151.4470678589304,Fails,207.0499968089485
24,60.996742935574524,-151.43000647951038,Fails,402.5846265442378
25,61.173253722401434,-151.02777900562705,Fails,98.46269170126267
26,61.179199795913654,-151.01246337475666,Fails,226.5192366895327
27,61.2023591376069,-150.92658787212224,Fails,108.05070980902971
28,61.20372400873423,-150.93284447829674,Fails,295.2766909321806
29,61.250711366099765,-150.97582534949512,Fails,59.17281704973685
30,61.24012921205285,-150.97816643723985,Fails,236.71706655556574
31,61.24735596299476,-151.02137243061298,Passes,22662.17010340486
32,61.24584060606977,-151.04913827822466,Fails,253.65267094579502
33,61.18169644492464,-151.00632896601925,Fails,148.03747194510447
34,61.179199795913654,-151.0124870146326,Fails,226.5192366895327
35,61.246280718889764,-151.01370847674204,Fails,314.34063361094996
