Polygon,Latitude,Longitude,Result,Perimeter
0,62.719864091897314,-150.25075316230237,Fails,145.67097812443205
1,62.137671945028025,-150.08185791135077,Fails,29.31413134466615
2,62.374530044058275,-149.79095088474062,Passes,755100.1511048604
3,62.71709214759205,-150.2500884089921,Fails,262.21543832884794
4,62.71804829726969,-150.2500081594934,Fails,280.52691570675603
5,62.72248826139398,-150.24993596761055,Fails,114.8674323765949
6,62.71743347789869,-150.2483268849982,Fails,335.4728865437652
7,62.718378877294256,-150.2475072497424,Fails,49.112267031225876
8,62.721166583103695,-150.24234047264434,Passes,2845.945543122237
9,62.78149233489018,-150.24046670847127,Passes,6108.374251228622
10,62.71745015749281,-150.24649284448307,Fails,96.56212124981896
11,62.71932970947191,-150.2453872256719,Fails,136.51503763712225
12,62.71798914666329,-150.24453728121077,Fails,114.8757699625073
13,62.723582572740085,-150.24401525323793,Fails,107.37670240601724
14,62.71809141640333,-150.24371276598228,Fails,213.10029010334733
15,62.725177171135726,-150.24342264920273,Fails,194.7729308431324
16,62.72825165841462,-150.23943564012467,Fails,1233.4349412706122
17,62.719211316124195,-150.2431534149987,Fails,225.58236456890674
18,62.72367893747055,-150.2428000776536,Fails,58.26600825533002
19,62.73063736577571,-150.2423993509225,Fails,242.20034625131981
20,62.72530026045002,-150.24146186009702,Fails,422.82865150613907
21,62.71762291043207,-150.24202890853275,Fails,127.35989052053301
22,62.723876566833056,-150.24158822135743,Fails,329.61790015433337
23,62.731033145263204,-150.24164424532137,Fails,143.98225696953693
24,62.73059596515827,-150.24172209931265,Fails,58.26172087938684
25,62.73058670978869,-150.2408003733878,Fails,387.85485725361264
26,62.717668735422286,-150.24018645297437,Fails,193.12367183681488
27,62.725170140842195,-150.24019496332966,Fails,38.28746912779259
28,62.730903219436804,-150.23787487378738,Fails,684.9726251215949
29,62.72550072086675,-150.23811446513162,Fails,278.833782865971
30,62.96669436800768,-150.23423301173247,Passes,1654.4341181529376
31,62.726289185024704,-150.23830336800282,Fails,58.26437964080262
32,62.72319025395599,-150.23740659268776,Fails,229.73206692836055
33,62.71916939474427,-150.23776951206253,Fails,98.22403297020213
34,62.72610300671416,-150.23608620742246,Fails,772.41096216858
35,62.73165285261864,-150.23586898937884,Fails,280.4807438414559
36,62.730865459743505,-150.2358650836602,Fails,85.72102330799936
37,62.73129031003083,-150.23466028433796,Fails,251.35137290550676
38,62.72891757795068,-150.23313880122814,Fails,570.9365012046317
39,62.72509337571791,-150.23364379495763,Fails,124.01754053468697
40,62.72296216231998,-150.23278667785078,Fails,814.0664772564053
41,62.72653764178127,-150.23241466938038,Fails,644.244067448323
42,62.72494282801813,-150.2317836076954,Fails,242.21581151780077
43,62.723388209978616,-150.23056339018336,Fails,657.5719260695346
44,62.72676914204792,-150.2308165517634,Fails,163.9691900468101
45,62.72884996690605,-150.2304751919555,Fails,105.70176189703875
46,62.72835017694797,-150.23031349520434,Fails,58.263112911147076
47,62.73039162111585,-150.22630936824902,Fails,1252.5601916346293
48,62.72320116682314,-150.22887485991228,Fails,231.39864155019046
49,62.72758688117322,-150.22877928158573,Fails,362.07419824903525
50,62.72187842229569,-150.22803031765517,Fails,395.382614248477
51,62.72385860052738,-150.22853483094178,Fails,76.57655294325441
52,62.72845198601351,-150.22779821240877,Fails,153.14170547030176
53,62.72757962205982,-150.22717804215338,Fails,366.2208797760652
54,62.72319641383223,-150.2271899246307,Fails,133.17716973651983
55,62.728978997646855,-150.22734905476673,Fails,58.26272314695619
56,62.73221378820805,-150.2271300369451,Fails,213.0650869087407
57,62.96010322245868,-150.22418938687917,Passes,2112.294523324967
58,62.722590144460156,-150.22520740135738,Fails,1147.8458694920719
59,62.72550208972813,-150.22542751559712,Fails,253.03733832565786
60,62.72827831172525,-150.22509813332627,Fails,58.26315467175236
61,62.72493657886832,-150.22504936763937,Fails,49.11023479857208
62,62.727861820093516,-150.22483213867065,Fails,96.54919004314846
63,62.726904417761304,-150.22443534272165,Fails,165.63765776500236
64,62.72889359616643,-150.22318161018978,Fails,824.8328395838766
65,62.72454695137345,-150.2228059928134,Fails,743.2951072552199
66,62.72245559538363,-150.22330500268765,Fails,116.53363117395074
67,62.73154817935944,-150.2231090066257,Fails,213.06684091086248
68,62.72296541847346,-150.22276251358753,Fails,58.26646759577223
69,62.7231219819944,-150.22231848917568,Fails,98.22158317551941
70,62.73210659335488,-150.21608491036352,Passes,3609.5143868749105
71,62.72639740621798,-150.21995749434544,Fails,1120.3261692466801
72,62.957504732356654,-150.221458943288,Fails,212.50621949273832
73,62.728232034877266,-150.22091766176592,Fails,360.40276554757406
74,62.729511998048785,-150.2204260383105,Fails,193.09427362328404
75,62.958524685547665,-150.21931158292466,Fails,107.15810141269648
76,62.68616805525274,-150.21879709326188,Fails,145.72313914182553
77,62.72889656400903,-150.21825810409143,Fails,153.14068929001138
78,62.957288821490124,-150.21809041857176,Fails,136.2197217191304
79,62.72896181248488,-150.21665675945454,Fails,271.3360649036473
80,62.727578245331415,-150.2164614735232,Fails,369.5588174446892
81,62.68452909215583,-150.21387786815674,Fails,916.2160874587842
82,62.72817051389116,-150.2157607876016,Fails,58.263224278102356
83,62.729055996099774,-150.2144697802076,Fails,349.57625534838536
84,63.067147618006416,-150.2136116457253,Fails,369.8231559710723
85,62.73023663904463,-150.21323951603753,Fails,116.52392896964628
86,62.733991596932235,-150.21098175029007,Fails,289.6248657607911
87,62.732807741682954,-150.20824838592242,Fails,1645.369641654192
88,62.73370413604133,-150.210137333923,Fails,29.12989991444013
89,62.734234833070715,-150.20941315360167,Fails,234.7112027594157
90,62.7348143960866,-150.20439186308818,Fails,2063.0666578149394
91,62.732077528073205,-150.20620315118114,Fails,462.7425909864618
92,62.73049239469022,-150.20535406924543,Fails,203.91610659397708
93,62.7309045628794,-150.20419682779124,Fails,203.91525744570703
94,62.72859035808709,-150.2030860317402,Fails,253.0295848625211
95,62.73352571204007,-150.20215967467223,Fails,347.88635001393124
96,62.7293079192432,-150.201611630865,Fails,105.70107980810506
97,62.7341130833802,-150.2002875207172,Fails,289.624643033063
